Data,Pattern,Algorithm,Load and preprocess time,Filtering time,Ordering time,Enumeration time,Total time,#Embeddings
human,query_sparse_12_33,VF2++,0.02868707,0.00010778,4.028e-05,3.95287261,3.98170774,229378464
human,query_dense_4_144,VF2++,0.03024723,6.271e-05,3.337e-05,0.23399563,0.26433894,42554404
human,query_dense_12_155,GraphQL,0.0307502,0.00036562,1.674e-05,15.59615156,15.627284119999999,357243024
human,query_sparse_8_144,GraphQL,0.04072656,0.00059676,1.439e-05,127.24930764,127.29064534999999,1401299712
human,query_sparse_8_114,DPiso,0.03109612,0.00032635,1.7e-05,0.02986013,0.0612996,5042563
human,query_dense_8_40,VF2++,0.0260854,4.797e-05,3.743e-05,2.71233351,2.73850431,72652800
human,query_sparse_12_190,VF2++,0.04110283,0.0001097,4.843e-05,38.90891083,38.950171790000006,4436381040
human,query_sparse_12_132,GraphQL,0.0351843,0.00035174,1.729e-05,438.94728516,438.98283849,28998620352
human,query_sparse_8_172,ORBIT,0.02849135,0.00140462,2.442e-05,0.00168057,0.03160096,44352
human,query_dense_4_67,VF2++,0.01940027,4.483e-05,3.348e-05,0.21783298,0.23731156,3043632
human,query_sparse_8_137,TurboISO,0.01930166,6.384e-05,2.362e-05,0.0395785,0.05896762,3985920
human,query_dense_4_113,DPiso,0.03117521,0.00032899,1.634e-05,0.02902627,0.06054680999999999,412457
human,query_dense_4_189,DPiso,0.03846873,0.00028953,1.591e-05,0.1950535,0.23382767,3468378
human,query_dense_16_102,DPiso,0.03417841,0.00042242,1.537e-05,5.2656243,5.3002405,42128640
human,query_dense_4_17,DPiso,0.02869973,0.00023733,1.402e-05,0.00078592,0.029737,20031
human,query_dense_16_46,ORBIT,0.02796132,0.00160124,4.463e-05,0.02077378,0.05038097,442368
human,query_dense_4_120,GraphQL,0.04175669,0.00024332,1.581e-05,0.01806229,0.06007811,278052
human,query_dense_4_137,TurboISO,0.01966044,0.00027246,1.962e-05,0.75650924,0.77646176,8804922
human,query_dense_8_64,ORBIT,0.01981882,0.00187079,2.645e-05,371.27768055,371.29939661000003,28362174398
human,query_sparse_8_49,VF2++,0.0374824,3.692e-05,3.608e-05,23.52041665,23.55797205,1096452672
human,query_dense_4_121,DPiso,0.0401935,0.00073675,1.752e-05,0.67578426,0.7167320300000001,8029806
human,query_dense_12_31,GraphQL,0.06306941,0.00037791,1.707e-05,0.01555031,0.0790147,198936
human,query_dense_4_1,VF2++,0.03645031,3.859e-05,3.115e-05,0.00025905,0.036779099999999995,10312
human,query_dense_8_51,VF2++,0.03286293,0.00010724,3.96e-05,285.43291268,285.46592245,7037852577
human,query_dense_4_116,GraphQL,0.04155519,0.00120451,1.567e-05,12.71892182,12.76169719,83334264
human,query_sparse_8_6,TurboISO,0.01993079,7.654e-05,2.827e-05,4.66463472,4.6846703199999995,242424000
human,query_sparse_8_174,DPiso,0.03239251,0.00016415,1.666e-05,0.01397448,0.0465478,524496
human,query_dense_4_145,TurboISO,0.01932068,0.00037872,2.021e-05,2.57393469,2.5936543000000003,37011858
human,query_dense_4_96,VF2++,0.02331748,4.834e-05,3.883e-05,0.12695125,0.1503559,2297596
human,query_sparse_8_76,TurboISO,0.03862387,0.00011048,2.389e-05,713.75715435,713.79591259,51970348464
human,query_dense_4_45,DPiso,0.0310414,0.00025393,3.371e-05,0.09220137,0.12353041000000001,16195210
human,query_sparse_12_2,TurboISO,0.03206254,0.0001856,2.39e-05,0.47259382,0.50486586,87480408
human,query_dense_4_90,VF2++,0.03026053,4.519e-05,3.695e-05,0.23759543,0.2679381,3043632
